,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,streaming_service_type
0,The Irishman,2019,18,98,1,0,0,0,Netflix
1,Dangal,2016,7,97,1,0,0,0,Netflix
2,David Attenborough: A Life on Our Planet,2020,7,95,1,0,0,0,Netflix
3,Lagaan: Once Upon a Time in India,2001,7,94,1,0,0,0,Netflix
4,Roma,2018,18,94,1,0,0,0,Netflix
5,To All the Boys I've Loved Before,2018,13,94,1,0,0,0,Netflix
6,The Social Dilemma,2020,13,93,1,0,0,0,Netflix
7,Okja,2017,13,92,1,0,0,0,Netflix
8,The Ballad of Buster Scruggs,2018,16,92,1,0,0,0,Netflix
9,The Trial of the Chicago 7,2020,18,92,1,0,0,0,Netflix
10,Article 15,2019,18,92,1,0,0,0,Netflix
11,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,18,92,1,0,0,0,Netflix
12,Dolemite Is My Name,2019,18,92,1,0,0,0,Netflix
13,Mudbound,2017,18,9,1,0,0,0,Netflix
14,Swades,2004,0,9,1,0,0,0,Netflix
15,Fyre,2019,18,9,1,0,0,0,Netflix
16,Miss Americana,2020,18,9,1,0,0,0,Netflix
17,Virunga,2014,16,9,1,0,0,0,Netflix
18,Black Friday,2004,18,9,1,0,0,0,Netflix
19,Talvar,2015,7,9,1,0,0,0,Netflix
20,The King,2019,18,9,1,0,0,0,Netflix
21,John Mulaney: Kid Gorgeous at Radio City,2018,18,89,1,0,0,0,Netflix
22,I Am Mother,2019,13,89,1,0,0,0,Netflix
23,Tell Me Who I Am,2019,18,89,1,0,0,0,Netflix
24,The Departed,2006,18,89,1,0,0,0,Netflix
25,Winter on Fire: Ukraine's Fight for Freedom,2015,16,89,1,0,0,0,Netflix
26,Terminator 2: Judgment Day,1991,18,89,1,0,0,0,Netflix
27,I Lost My Body,2019,18,89,1,0,0,0,Netflix
28,Django Unchained,2012,18,89,1,0,0,0,Netflix
29,The Half of It,2020,13,89,1,0,0,0,Netflix
30,The Boy Who Harnessed the Wind,2019,7,89,1,0,0,0,Netflix
31,The Devil All the Time,2020,18,89,1,0,0,0,Netflix
32,The Fundamentals of Caring,2016,18,89,1,0,0,0,Netflix
33,Pieces of a Woman,2020,18,88,1,0,0,0,Netflix
34,Gerald's Game,2017,18,88,1,0,0,0,Netflix
35,On Body and Soul,2017,0,88,1,0,0,0,Netflix
36,Shutter Island,2010,18,88,1,0,0,0,Netflix
37,Always Be My Maybe,2019,13,88,1,0,0,0,Netflix
38,The Intouchables,2011,7,88,1,0,0,0,Netflix
39,Bill Burr: Paper Tiger,2019,18,87,1,0,0,0,Netflix
40,Special 26,2013,0,87,1,0,0,0,Netflix
41,Kiss the Ground,2020,18,87,1,0,0,0,Netflix
42,Crip Camp: A Disability Revolution,2020,18,87,1,0,0,0,Netflix
43,Extraction,2020,18,87,1,0,0,0,Netflix
44,No Direction Home: Bob Dylan,2005,0,87,1,0,0,0,Netflix
45,Kabhi Khushi Kabhie Gham,2001,0,87,1,0,0,0,Netflix
46,His House,2020,16,87,1,0,0,0,Netflix
47,Super Deluxe,2019,18,87,1,0,0,0,Netflix
48,The Guernsey Literary & Potato Peel Pie Society,2018,16,87,1,0,0,0,Netflix
49,A Secret Love,2020,18,87,1,0,0,0,Netflix
50,The Night Comes for Us,2018,18,87,1,0,0,0,Netflix
51,The Big Lebowski,1998,18,87,1,0,0,0,Netflix
52,Pad Man,2018,13,87,1,0,0,0,Netflix
53,American Factory,2019,13,86,1,0,0,0,Netflix
54,Bird Box,2018,18,86,1,0,0,0,Netflix
55,The Pianist,2002,18,86,1,0,0,0,Netflix
56,3 Idiots,2009,13,86,1,0,0,0,Netflix
57,The Distinguished Citizen,2016,0,86,1,0,0,0,Netflix
58,A Shaun the Sheep Movie: Farmageddon,2019,0,86,1,0,0,0,Netflix
59,A Clockwork Orange,1971,18,86,1,0,0,0,Netflix
60,What Happened to Monday,2017,18,86,1,0,0,0,Netflix
61,Anthony Jeselnik: Thoughts and Prayers,2015,18,86,1,0,0,0,Netflix
62,The White Helmets,2016,16,86,1,0,0,0,Netflix
63,Invader ZIM: Enter the Florpus,2019,7,86,1,0,0,0,Netflix
64,Happy as Lazzaro,2018,13,85,1,0,0,0,Netflix
65,Chasing Coral,2017,0,85,1,0,0,0,Netflix
66,Kal Ho Naa Ho,2003,0,85,1,0,0,0,Netflix
67,Pan's Labyrinth,2006,18,85,1,0,0,0,Netflix
68,Team Foxcatcher,2016,16,85,1,0,0,0,Netflix
69,The Meyerowitz Stories (New and Selected),2017,18,85,1,0,0,0,Netflix
70,Casino Royale,2006,13,85,1,0,0,0,Netflix
71,The Hateful Eight,2015,18,85,1,0,0,0,Netflix
72,Rush,2013,18,84,1,0,0,0,Netflix
73,Zombieland,2009,18,84,1,0,0,0,Netflix
74,Eurovision Song Contest: The Story of Fire Saga,2020,13,84,1,0,0,0,Netflix
75,Kapoor & Sons,2016,13,84,1,0,0,0,Netflix
76,The Perfection,2018,18,84,1,0,0,0,Netflix
77,Dave Chappelle: Sticks & Stones,2019,18,84,1,0,0,0,Netflix
78,There Will Be Blood,2007,18,84,1,0,0,0,Netflix
79,Million Dollar Baby,2004,13,84,1,0,0,0,Netflix
80,The Social Network,2010,13,84,1,1,0,0,Netflix
81,The Christmas Chronicles,2018,7,84,1,0,0,0,Netflix
82,Monty Python and the Holy Grail,1975,7,84,1,0,0,0,Netflix
83,The Pixar Story,2007,0,84,1,0,0,0,Netflix
84,Ma Rainey's Black Bottom,2020,18,84,1,0,0,0,Netflix
85,Calibre,2018,18,84,1,0,0,0,Netflix
86,Silver Linings Playbook,2012,18,84,1,0,0,0,Netflix
87,Over the Moon,2020,7,84,1,0,0,0,Netflix
88,"What Happened, Miss Simone?",2015,0,84,1,0,0,0,Netflix
89,Nightcrawler,2014,18,84,1,0,0,0,Netflix
90,1922,2017,18,84,1,0,0,0,Netflix
91,Paddleton,2019,18,84,1,0,0,0,Netflix
92,Cargo,2017,0,84,1,0,0,0,Netflix
93,Rain Man,1988,18,83,1,0,0,0,Netflix
94,Cuba and the Cameraman,2017,0,83,1,0,0,0,Netflix
95,The Ritual,2017,18,83,1,0,0,0,Netflix
96,The Hater,2020,18,83,1,0,0,0,Netflix
97,The Edge of Democracy,2019,16,83,1,0,0,0,Netflix
98,22-Jul,2018,18,83,1,0,0,0,Netflix
99,Adam Sandler: 100% Fresh,2018,18,83,1,0,0,0,Netflix
100,Guru,2007,13,83,1,0,0,0,Netflix
101,A Twelve-Year Night,2018,18,83,1,0,0,0,Netflix
102,Dumplin',2018,13,83,1,0,0,0,Netflix
103,The Conjuring,2013,18,83,1,0,0,0,Netflix
104,Marriage Story,2019,18,83,1,0,0,0,Netflix
105,My Octopus Teacher,2020,0,83,1,0,0,0,Netflix
106,About Time,2013,13,83,1,0,0,0,Netflix
107,Hey Arnold! The Jungle Movie,2017,7,83,1,1,0,0,Netflix
108,Kung Fu Panda,2008,7,83,1,0,0,0,Netflix
109,Superbad,2007,18,83,1,0,0,0,Netflix
